DeptID	Dept Title	Set ID	Location
101006	BPS Office Of Budget Mgmt	BOSTN	BPS192
101007	BPS Equity	BOSTN	BPS179
101008	BPS Citywide Parents Council	BOSTN	BPS203
101009	Achievement Gap	BOSTN	BPS259
101010	Superintendent	BOSTN	BPS207
101011	Chief of Staff	BOSTN	BPS001
101012	Advancement & Ext. Affairs	BOSTN	BPS001
101013	Early Learning Services	BOSTN	BPS265
101014	Legal Advisor	BOSTN	BPS212
101016	BPS Development	BOSTN	BPS177
101017	BPS Chapter 1	BOSTN	BPS220
101018	Teaching & Learning	BOSTN	BPS175
101019	BPS Deputy Superintendent CS	BOSTN	BPS176
101020	Chief Financial Officer	BOSTN	BPS198
101021	AcadSup-Elementary A	BOSTN	BPS721
101022	AcadSup-Elementary B	BOSTN	BPS722
101023	AcadSup-Middle and K-8	BOSTN	BPS723
101024	AcadSup-High/Car&Tech	BOSTN	BPS724
101025	AcadSup-Pilot	BOSTN	BPS725
101026	Institutional Advancemt	BOSTN	BPS726
101027	Accountability	BOSTN	BPS727
101028	Student Support Svc	BOSTN	BPS728
101029	Strategy Department	BOSTN	BPS001
101030	BPS Business Service	BOSTN	BPS185
101032	BPS High School Renewal	BOSTN	BPS239
101033	Chief Academic Officer	BOSTN	BPS206
101034	Professional Developmnt	BOSTN	BPS248
101035	School Leadership Institute	BOSTN	BPS256
101036	Deputy Superintendent Triad B	BOSTN	BPS257
101037	Deputy Superintendent Triad C	BOSTN	BPS258
101038	Supt Schools Network	BOSTN	BPS264
101040	BPS Facility Management	BOSTN	BPS181
101041	BPS Instruc Techn & Lib Medi	BOSTN	BPS235
101042	BPS School-To-Career	BOSTN	BPS053
101043	BPS Alternative Education	BOSTN	BPS058
101044	BPS Health and Wellness	BOSTN	BPS047
101046	BPS Facility Mgmt/A & R	BOSTN	BPS169
101047	Diplomas Plus	BOSTN	BPS001
101049	Fam & Student Engagemt	BOSTN	BPS215
101050	Communications	BOSTN	BPS174
101056	BPS Comprehensive Schl Plann	BOSTN	BPS193
101057	BPS Operation Support Servic	BOSTN	BPS214
101058	BPS Capital Planning Unit	BOSTN	BPS194
101059	BPS Welcome Services	BOSTN	BPS831
101064	BPS Horace Mann	BOSTN	BPS039
101068	Chief Operating Officer	BOSTN	BPS199
101069	Research Assess & Eval	BOSTN	BPS231
101070	BPS Human Resource Team	BOSTN	BPS237
101079	BPS McKinley Middle	BOSTN	BPS089
101080	BPS Implementation	BOSTN	BPS232
101081	BPS Transportation	BOSTN	BPS245
101082	BPS Central Kitchen Food Ser	BOSTN	BPS196
101084	Info & Instr Technology	BOSTN	BPS221
101085	BPS External Liaison Unit	BOSTN	BPS001
101086	BPS Labor Relations	BOSTN	BPS260
101088	Innovation Department	BOSTN	BPS001
101089	Enrollment Services	BOSTN	BPS182
101091	BPS Counseling & Intervtn Ct	BOSTN	BPS048
101095	BPS School Safety Service	BOSTN	BPS050
101097	Food & Nutrition Svc	BOSTN	BPS201
101105	BPS Athletics	BOSTN	BPS051
101107	English Language Learn	BOSTN	BPS229
101109	BPS Title VII/External Funds	BOSTN	BPS080
101113	Career & Technical Ed	BOSTN	BPS204
101118	BPS Multiling Comm & Placeme	BOSTN	BPS052
101121	BPS Cohort 3	BOSTN	BPS238
101124	BPS Cohort 4	BOSTN	BPS249
101128	BPS Summer School Program	BOSTN	BPS112
101144	BPS School-Based Mgmt-Sbm	BOSTN	BPS054
101145	BPS Tech Boston Program	BOSTN	BPS240
101151	BPS Adult Education	BOSTN	BPS055
101165	BPS Carter Center	BOSTN	BPS057
101169	Unified Student Svc	BOSTN	BPS059
101170	BPS Special Education	BOSTN	BPS061
101180	BPS Health Service	BOSTN	BPS062
101181	BPS Hearing/Appeal/Attendanc	BOSTN	BPS063
101182	BPS Counseling Service	BOSTN	BPS172
101188	BPS Sped Contracted Ed Servi	BOSTN	BPS261
101190	Newcomers Academy	BOSTN	BPS290
101203	BPS Adams Elementary	BOSTN	BPS013
101204	Early Ed Classes at Fifield	BOSTN	BPS140
101205	BPS Agassiz Elementary	BOSTN	BPS119
101206	Alighieri Montessori School	BOSTN	BPS008
101207	BPS Alighieri Elementary	BOSTN	BPS008
101209	Ellison/Parks EES	BOSTN	BPS022
101211	BPS Baldwin Elementary	BOSTN	BPS152
101217	BPS Bates Elementary	BOSTN	BPS130
101219	BPS Beethoven Elementary	BOSTN	BPS121
101223	BPS Blackstone Elementary	BOSTN	BPS043
101224	Mission Hill K-8	BOSTN	BPS164
101229	BPS Bradley Elementary	BOSTN	BPS127
101239	BPS Channing Elementary	BOSTN	BPS149
101247	BPS Chittick Elementary	BOSTN	BPS128
101249	BPS Clap Elementary	BOSTN	BPS026
101251	BPS Condon Elementary	BOSTN	BPS042
101253	BPS Conley Elementary	BOSTN	BPS129
101255	BPS Curley,James M. Elementa	BOSTN	BPS161
101256	Curley K-8	BOSTN	BPS161
101257	BPS Dever Elementary	BOSTN	BPS133
101258	Dudley St. Neighborhood School	BOSTN	BPS268
101259	BPS Dickerman Elementary	BOSTN	BPS167
101260	East Zone ELC	BOSTN	BPS125
101261	Eliot K-8	BOSTN	BPS016
101262	BPS Ellis Elementary	BOSTN	BPS155
101263	BPS Emerson Elementary	BOSTN	BPS135
101265	BPS Endicott Elementary	BOSTN	BPS138
101266	BTU Pilot	BOSTN	BPS266
101267	BPS Everett Elementary	BOSTN	BPS139
101271	BPS Farragut Elementary	BOSTN	BPS033
101275	BPS Fifield Elementary	BOSTN	BPS140
101277	BPS Fuller Elementary	BOSTN	BPS015
101279	Gardner Pilot  Academy	BOSTN	BPS142
101281	BPS Garfield Elementary	BOSTN	BPS143
101285	Greenwood, E Leadership Acad	BOSTN	BPS146
101286	Greenwood, S K-8	BOSTN	BPS137
101288	BPS Grew Elementary	BOSTN	BPS148
101290	BPS Guild Elementary	BOSTN	BPS126
101292	BPS Hale Elementary	BOSTN	BPS134
101293	Haley Pilot	BOSTN	BPS150
101295	BPS Hamilton Elementary	BOSTN	BPS151
101299	BPS Hennigan Elementary	BOSTN	BPS153
101301	Hernandez K-8	BOSTN	BPS124
101303	BPS Higginson Elementary	BOSTN	BPS156
101307	UP Academy Holland	BOSTN	BPS158
101308	BPS Holland Elementary	BOSTN	BPS158
101309	BPS Holmes Elementary	BOSTN	BPS132
101310	Hurley K-8	BOSTN	BPS159
101316	Jackson/Mann K-8	BOSTN	BPS040
101318	Kennedy, JF Elementary	BOSTN	BPS160
101320	Kennedy, PJ Elementary	BOSTN	BPS168
101322	BPS Kenny Elementary	BOSTN	BPS018
101324	BPS Harvard/Kent Elementary	BOSTN	BPS162
101326	Kilmer K-8	BOSTN	BPS122
101328	BPS Lee Elementary	BOSTN	BPS165
101329	BPS Cl#10 Lee Academy	BOSTN	BPS329
101335	Lyndon K-8	BOSTN	BPS010
101339	Lyon K-8	BOSTN	BPS144
101342	BPS Manning Elementary	BOSTN	BPS166
101343	UP Academy Dorchester	BOSTN	BPS343
101344	BPS Marshall Elementary	BOSTN	BPS109
101346	BPS Mason Elementary	BOSTN	BPS136
101348	BPS Mather Elementary	BOSTN	BPS011
101350	BPS Mattahunt Elementary	BOSTN	BPS046
101351	Mattahunt Elementary School	BOSTN	BPS046
101352	BPS Mckay Elementary	BOSTN	BPS012
101355	East Boston EEC	BOSTN	BPS023
101356	BPS Mendell Elementary	BOSTN	BPS014
101364	BPS Mozart Elementary	BOSTN	BPS131
101366	BPS Murphy Elementary	BOSTN	BPS020
101367	Baldwin ELC	BOSTN	BPS041
