EducationOrganizationId	StateOrganizationId	NameOfInstitution	ShortNameOfInstitution	OperationalStatusTypeId	CreateDate	LastModifiedDate	Id	PeopleSoft	School
4691	350016	Mattahunt Elementary School	Mattahunt Elementary School	1	2019-01-17 18:50:20	2019-03-06 4:51:32	7A0CCE3C-3DF8-4321-AFBE-9C775A480F52	101351	4691
4690	350226	Mattahunt Elementary School	Mattahunt Elementary (CLOSED)	7	2019-01-17 18:51:02	2019-03-01 11:40:53	B065833B-4DCC-4EE7-8188-E864F8901CF6	101350	4690
4680	350257	Orchard Gardens K-8 School	Orchard Gardens K-8 School	1	2019-01-17 18:51:02	2019-03-01 11:40:53	6AE93F22-A6CA-43F7-A4B6-2174C5EF1093	101377	4680
4671	350378	Mildred Avenue K-8 School	Mildred Avenue K-8 School	1	2019-01-17 18:51:02	2019-03-01 11:40:53	0A9C6B3F-4AE2-4F13-9378-11E49EDA7973	101548	4671
4670	350014	Pauline A. Shaw Elementary School	Shaw Pauline A Elementary	1	2019-01-17 18:51:01	2019-03-01 11:40:52	0EEECA69-6B4B-41D9-A211-BDD25BCE1697	101411	4670
4661	350012	Boston Teachers Union K-8 Pilot School	Boston Teachers Union K-8 Pilot	1	2019-01-17 18:51:02	2019-03-01 11:40:52	38087699-5B84-435E-AD84-22DA9F2A5E69	101266	4661
4650	350286	Josiah Quincy Elementary School	Quincy Elementary	1	2019-01-17 18:51:01	2019-03-01 11:40:52	28246554-4DAC-4616-8861-85CAAABE967F	101398	4650
4640	350390	William Blackstone Elementary School	Blackstone Innovation School	1	2019-01-17 18:51:01	2019-03-01 11:40:52	75775653-61A6-4D19-BB64-FDA41FDD06CF	101223	4640
4630	350146	James F. Condon K-8 School	Condon K-8	1	2019-01-17 18:51:02	2019-03-01 11:40:52	BA9D1DCD-2802-4DE1-B01A-8EB2B7150C90	101251	4630
4621	350003	Baldwin Early Learning Center	Baldwin Early Learning Pilot Academy	1	2019-01-17 18:51:01	2019-03-01 11:40:52	FD8C3D7C-035C-46AC-B596-7C8F4F32E834	101367	4621
4620	350013	Jackson/Mann K-8 School	Jackson/Mann K-8 School	1	2019-01-17 18:51:02	2019-03-01 11:40:52	59BF0C39-44E5-4BFF-AF9C-B3CBAD9E7307	101316	4620
4610	350750	Horace Mann School for the Deaf & Hard of Hearing	Horace Mann School for the Deaf Hard of Hearing	1	2019-01-17 18:51:01	2019-03-01 11:40:51	6E81895D-BB5B-40C9-B45F-B601C7028C66	101064	4610
4600	350380	Young Achievers School of Science & Math	Young Achievers K-8 School	1	2019-01-17 18:51:02	2019-03-01 11:40:51	5EA7A5DC-C501-4253-B4B7-EE98DFC93135	101433	4600
4592	350255	Oliver H. Perry K-8 School	Perry K-8 School	1	2019-01-17 18:51:01	2019-03-01 11:40:51	0ACF4A48-EC16-4748-BC47-AEA275ACEC8D	101392	4592
4590	350181	Joseph P. Tynan Elementary School	Tynan Elementary	1	2019-01-17 18:51:00	2019-03-01 11:40:51	961DFA9E-E967-4E17-8964-F234F8F3122B	101432	4590
4580	350370	William Monroe Trotter Elementary School	Trotter K-8 School	1	2019-01-17 18:51:01	2019-03-01 11:40:51	83B73947-D099-433F-902F-1E82E1BE33BC	101428	4580
4571	350108	David G. Farragut Elementary School	Farragut Elementary	7	2019-01-17 18:51:00	2019-03-01 11:40:51	373C96F4-3BC7-4882-8075-73142C17EFA4	101271	4571
4570	350229	Maurice J. Tobin K-8 School	Tobin K-8 School	1	2019-01-17 18:51:01	2019-03-01 11:40:50	21D8D0D5-9342-45D6-B6E0-EED1F5992048	101426	4570
4561	350172	John D. Philbrick Elementary School	Philbrick Elementary	1	2019-01-17 18:51:00	2019-03-01 11:40:50	99FF03DC-F50C-4983-9C8C-9271C02E5CBF	101394	4561
4560	350052	Charles Sumner Elementary School	Sumner Elementary	1	2019-01-17 18:51:00	2019-03-01 11:40:50	AA7B9384-5152-457E-8975-7187C4402DF9	101420	4560
4550	N/A	Lucy Stone Elementary School	Stone Elementary	7	2019-01-17 18:51:00	2019-03-01 11:40:50	9C27DF33-0C34-4F1B-99DA-59066E6FF545	101416	4550
4543	350141	Hugh R. O'Donnell Elementary School	O'Donnell Elementary	1	2019-01-17 18:51:00	2019-03-01 11:40:50	EFDCD493-2182-476A-8DA4-0AC8D2C15EFA	101370	4543
4541	350264	Patrick J. Kennedy Elementary School	Kennedy Patrick J. Elementary	1	2019-01-17 18:51:00	2019-03-01 11:40:50	488B8B8A-810E-4029-8B63-13393861D052	101320	4541
4531	350298	Roger Clap Innovation School	Clap Innovation School	1	2019-01-17 18:50:59	2019-03-01 11:40:49	802E6DA9-B087-43DC-B616-CD26AC386B76	101249	4531
4530	350366	William E. Russell Elementary School	Russell Elementary	1	2019-01-17 18:50:59	2019-03-01 11:40:49	D836507E-A515-47BB-BD58-AAAEAFC6139C	101406	4530
4460	350010	Rev. Dr. Michael E. Haynes Early Education Center	Haynes Early Education Center	1	2019-01-17 18:50:59	2019-03-01 11:40:49	6AD17644-EAA2-441C-9DC5-76F11A5015C7	101401	4460
4450	350009	East Boston Early Education Center	East Boston Early Education Center	1	2019-01-17 18:50:59	2019-03-01 11:40:49	595FA32F-7F1D-4090-90C4-C58531FFAC07	101355	4450
